"Pathway","W_statistic","p_value","adj_p_value","significance"
"GSE11924_TFH_VS_TH17_CD4_TCELL_DN",718,0.0021,0.0077,"FDR < 0.01"
"GSE11924_TFH_VS_TH17_CD4_TCELL_UP",895,0.0847,0.1412,"Not significant"
"GSE11924_TH1_VS_TH17_CD4_TCELL_DN",1715,0,0,"FDR < 0.01"
"GSE11924_TH1_VS_TH17_CD4_TCELL_UP",1322,0.1481,0.2323,"Not significant"
"GSE11924_TH2_VS_TH17_CD4_TCELL_DN",1269,0.2935,0.3849,"Not significant"
"GSE11924_TH2_VS_TH17_CD4_TCELL_UP",1864,0,0,"FDR < 0.01"
"GSE14026_TH1_VS_TH17_DN",1500,0.0052,0.0148,"FDR < 0.05"
"GSE14026_TH1_VS_TH17_UP",1157,0.8269,0.882,"Not significant"
"GSE14308_TH17_VS_INDUCED_TREG_DN",957,0.2079,0.297,"Not significant"
"GSE14308_TH17_VS_INDUCED_TREG_UP",1266,0.3039,0.3858,"Not significant"
"GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN",502,0,0,"FDR < 0.01"
"GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP",867,0.053,0.0964,"Not significant"
"GSE14308_TH17_VS_NATURAL_TREG_DN",955,0.2025,0.2946,"Not significant"
"GSE14308_TH17_VS_NATURAL_TREG_UP",794,0.0128,0.0331,"FDR < 0.05"
"GSE14308_TH1_VS_TH17_DN",1267,0.3004,0.3858,"Not significant"
"GSE14308_TH1_VS_TH17_UP",847,0.037,0.0714,"Not significant"
"GSE14308_TH2_VS_TH17_DN",1342,0.1104,0.1767,"Not significant"
"GSE14308_TH2_VS_TH17_UP",543,0,1e-04,"FDR < 0.01"
"GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_DN",1261,0.3217,0.4021,"Not significant"
"GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_UP",1570,8e-04,0.0035,"FDR < 0.01"
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_DN",468,0,0,"FDR < 0.01"
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP",909,0.1055,0.1723,"Not significant"
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_DN",1033,0.488,0.5741,"Not significant"
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_UP",657,4e-04,0.0018,"FDR < 0.01"
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_DN",1152,0.8559,0.8893,"Not significant"
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP",1049,0.5655,0.6557,"Not significant"
"GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_DN",1437,0.0207,0.046,"FDR < 0.05"
"GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_UP",1432,0.0229,0.0479,"FDR < 0.05"
"GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_DN",1530,0.0025,0.0086,"FDR < 0.01"
"GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP",734,0.0032,0.0106,"FDR < 0.05"
"GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN",1406,0.0377,0.0714,"Not significant"
"GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",1155,0.8385,0.8826,"Not significant"
"GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN",1450,0.0158,0.0373,"FDR < 0.05"
"GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",397,0,0,"FDR < 0.01"
"GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN",1253,0.3516,0.4328,"Not significant"
"GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",1457,0.0137,0.0331,"FDR < 0.05"
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_DN",962,0.2217,0.3058,"Not significant"
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_DN",1541,0.0019,0.0071,"FDR < 0.01"
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP",786,0.0108,0.0287,"FDR < 0.05"
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP",256,0,0,"FDR < 0.01"
"GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_DN",1125,0.9911,0.9911,"Not significant"
"GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP",1514,0.0037,0.0116,"FDR < 0.05"
"GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN",392,0,0,"FDR < 0.01"
"GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP",408,0,0,"FDR < 0.01"
"GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_DN",1595,4e-04,0.0018,"FDR < 0.01"
"GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_UP",1865,0,0,"FDR < 0.01"
"GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN",971,0.2481,0.3364,"Not significant"
"GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP",1095,0.8154,0.8815,"Not significant"
"GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_DN",1006,0.3712,0.45,"Not significant"
"GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_UP",1149,0.8734,0.8958,"Not significant"
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN",1488,0.0069,0.0189,"FDR < 0.05"
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP",1363,0.0794,0.1374,"Not significant"
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_DN",1177,0.7137,0.8041,"Not significant"
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP",1679,0,2e-04,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN",1513,0.0038,0.0116,"FDR < 0.05"
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP",1185,0.6699,0.7656,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_DN",1500,0.0052,0.0148,"FDR < 0.05"
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP",1294,0.2161,0.3033,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_10H_DN",1632,1e-04,7e-04,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_10H_UP",1569,9e-04,0.0035,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN",1457,0.0137,0.0331,"FDR < 0.05"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_UP",1309,0.1773,0.2676,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_20H_DN",1137,0.9439,0.9558,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_20H_UP",1444,0.0179,0.041,"FDR < 0.05"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_DN",974,0.2574,0.3432,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_UP",1813,0,0,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_42H_DN",1677,0,2e-04,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_42H_UP",1086,0.764,0.8489,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_DN",952,0.1947,0.2885,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_UP",1315,0.1633,0.2513,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_DN",1615,2e-04,0.0011,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP",1798,0,0,"FDR < 0.01"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_DN",849,0.0384,0.0714,"Not significant"
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP",1094,0.8096,0.8815,"Not significant"
"GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_DN",1412,0.0337,0.0674,"Not significant"
"GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_UP",1225,0.4695,0.5607,"Not significant"
"GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_DN",1364,0.0782,0.1374,"Not significant"
"GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_UP",892,0.0807,0.1374,"Not significant"
"HE_LIM_SUN_FETAL_LUNG_C4_TH17_CELL",823,0.0233,0.0479,"FDR < 0.05"
"WP_TH17_CELL_DIFFERENTIATION_PATHWAY",1432,0.0229,0.0479,"FDR < 0.05"
